,return_id,transaction_id,customer_id,product_id,reason
0,1,118323,45635,141,wrong_size
1,2,99759,38511,500,damaged
2,3,35694,13793,10,damaged
3,4,17739,6853,486,damaged
4,5,45218,17475,104,damaged
5,6,38467,14841,499,wrong_size
6,7,96500,37266,455,damaged
7,8,45448,17556,406,other
8,9,64926,25083,302,damaged
9,10,102223,39447,333,other
10,11,108634,41888,398,wrong_size
11,12,80300,31026,432,wrong_size
12,13,70706,27308,199,other
13,14,28025,10827,131,other
14,15,54488,21111,302,defect
15,16,59335,22919,135,defect
16,17,43382,16751,457,defect
17,18,92999,35932,309,other
18,19,125876,48559,209,wrong_size
19,20,41297,15949,151,damaged
20,21,98293,37952,22,other
21,22,86284,33347,331,wrong_size
22,23,36541,14120,244,wrong_size
23,24,119922,46232,157,wrong_size
24,25,97721,37729,362,other
25,26,64183,24776,289,defect
26,27,20151,7764,50,damaged
27,28,24790,9555,3,wrong_size
28,29,121255,46738,196,defect
29,30,17049,6587,116,defect
30,31,16732,6468,91,defect
31,32,52609,20335,65,defect
32,33,80809,31230,185,wrong_size
33,34,85561,33069,352,defect
34,35,105104,40532,404,wrong_size
35,36,41799,16139,285,wrong_size
36,37,110118,42468,94,damaged
37,38,123741,47694,139,damaged
38,39,104738,40392,287,defect
39,40,57075,22108,236,defect
40,41,70819,27351,182,defect
41,42,35298,13642,375,defect
42,43,96801,37370,132,damaged
43,44,48437,18703,307,defect
44,45,91582,35404,382,wrong_size
45,46,25892,10027,260,damaged
46,47,30067,11611,159,other
47,48,118889,45842,159,wrong_size
48,49,70200,27131,221,damaged
49,50,35387,13682,148,defect
50,51,29916,11549,476,damaged
51,52,89076,34441,204,defect
52,53,18821,7246,83,wrong_size
53,54,52925,20464,101,damaged
54,55,103083,39764,244,wrong_size
55,56,18957,7297,297,damaged
56,57,99894,38555,198,damaged
57,58,3459,1353,144,other
58,59,104869,40442,333,defect
59,60,15577,6041,236,defect
60,61,630,259,399,damaged
61,62,39908,15401,281,damaged
62,63,113210,43627,341,defect
63,64,13861,5357,307,other
64,65,55652,21574,9,damaged
65,66,11445,4439,180,damaged
66,67,84026,32465,255,wrong_size
67,68,15203,5899,313,damaged
68,69,35443,13702,16,damaged
69,70,6999,2690,139,other
70,71,113393,43693,78,other
71,72,109429,42185,260,other
72,73,72642,28040,244,damaged
73,74,126089,48648,468,wrong_size
74,75,35806,13823,310,wrong_size
75,76,57776,22349,290,wrong_size
76,77,16261,6298,333,damaged
77,78,9450,3676,288,other
78,79,71816,27736,100,damaged
79,80,7083,2727,245,wrong_size
80,81,29210,11274,435,wrong_size
81,82,67273,26002,340,other
82,83,123338,47532,357,defect
83,84,97215,37534,374,other
84,85,69407,26808,180,other
85,86,79794,30834,339,other
86,87,114414,44079,84,wrong_size
87,88,90124,34846,500,damaged
88,89,16753,6478,372,defect
89,90,2783,1116,373,other
90,91,44085,17031,232,damaged
91,92,125582,48438,445,wrong_size
92,93,80497,31102,217,defect
93,94,41385,15986,60,damaged
94,95,50225,19368,347,other
95,96,89572,34636,85,damaged
96,97,8902,3472,133,defect
97,98,30766,11889,82,defect
98,99,26452,10242,209,other
99,100,68039,26302,62,other
100,101,37816,14608,391,other
101,102,6331,2440,285,defect
102,103,49185,18991,37,other
103,104,13326,5145,371,defect
104,105,34454,13313,350,defect
105,106,65564,25334,190,defect
106,107,94414,36462,433,other
107,108,48434,18703,276,wrong_size
108,109,71658,27678,102,wrong_size
109,110,16143,6250,340,wrong_size
110,111,68354,26411,197,wrong_size
111,112,59840,23123,141,other
112,113,61789,23892,418,other
113,114,65994,25501,311,other
114,115,38586,14883,4,other
