traffic_id,customer_id,channel,session_start,device
1,1,mail.ru_search,2025-01-22 13:29:37,tablet
2,2,malinka_ads,2025-01-05 04:37:18,desktop
3,3,mail.ru_search,2025-01-01 13:37:36,mobile
4,4,organic,2025-01-04 12:33:22,mobile
5,5,yandex,2025-01-03 08:59:41,desktop
6,6,malinka_ads,2025-01-03 20:25:07,tablet
7,7,vk,2025-02-11 06:44:45,mobile
8,8,organic,2025-01-11 09:14:16,tablet
9,9,yandex,2025-01-07 05:14:17,mobile
10,10,organic,2025-01-01 07:54:22,desktop
11,11,organic,2025-01-01 07:43:18,mobile
12,12,yandex,2025-01-04 02:33:56,desktop
13,13,vk,2025-02-16 06:03:32,tablet
14,14,yandex,2025-01-08 07:25:00,mobile
15,15,vk,2025-01-02 21:17:16,tablet
16,16,malinka_ads,2025-01-06 09:17:14,mobile
17,17,yandex,2025-01-04 16:03:42,mobile
18,18,malinka_ads,2025-01-01 09:42:15,tablet
19,19,organic,2025-01-01 15:37:06,tablet
20,20,mail.ru_search,2025-01-02 09:49:16,mobile
21,21,malinka_ads,2025-01-10 20:19:47,desktop
22,22,organic,2025-01-01 06:56:30,desktop
23,23,yandex,2025-01-06 05:52:01,tablet
24,24,yandex,2025-01-03 23:52:05,mobile
25,25,organic,2025-03-28 02:49:06,desktop
26,26,vk,2025-01-08 19:50:13,tablet
27,27,yandex,2025-01-02 22:21:04,desktop
28,28,yandex,2025-01-25 11:20:24,tablet
29,29,organic,2025-01-10 15:38:27,desktop
30,30,organic,2025-01-02 08:55:16,mobile
31,31,mail.ru_search,2025-01-26 10:25:16,tablet
32,32,organic,2025-01-02 17:40:01,desktop
33,33,malinka_ads,2025-01-10 05:16:49,tablet
34,34,organic,2025-01-08 08:26:03,mobile
35,35,malinka_ads,2025-01-03 22:17:34,mobile
36,36,vk,2025-01-26 21:18:08,desktop
37,37,yandex,2025-01-03 00:08:30,desktop
38,38,organic,2025-01-01 09:51:23,mobile
39,39,organic,2025-01-03 18:39:03,mobile
40,40,malinka_ads,2025-01-04 15:12:19,mobile
41,41,vk,2025-01-08 21:24:01,desktop
42,42,vk,2025-01-27 13:33:32,desktop
43,43,yandex,2025-01-10 16:52:13,tablet
44,44,mail.ru_search,2025-01-07 01:20:05,tablet
45,45,organic,2025-01-12 21:12:27,tablet
46,46,mail.ru_search,2025-01-10 00:45:58,tablet
47,47,yandex,2025-01-01 11:56:37,tablet
48,48,yandex,2025-01-07 12:26:47,tablet
49,49,yandex,2025-01-01 05:14:24,desktop
50,50,malinka_ads,2025-01-02 18:37:31,tablet
51,51,yandex,2025-01-03 21:37:53,desktop
52,52,mail.ru_search,2025-01-02 09:02:29,mobile
53,53,vk,2025-01-19 11:12:24,tablet
54,54,yandex,2025-01-09 18:25:01,tablet
55,55,mail.ru_search,2025-01-04 17:41:02,desktop
56,56,vk,2025-02-14 21:09:00,tablet
57,57,mail.ru_search,2025-01-01 08:44:23,tablet
58,58,mail.ru_search,2025-01-11 08:48:29,mobile
59,59,malinka_ads,2025-01-07 23:47:39,mobile
60,60,mail.ru_search,2025-01-13 23:59:43,mobile
61,61,malinka_ads,2025-01-02 00:57:00,tablet
62,62,vk,2025-01-07 16:35:09,desktop
63,63,organic,2025-01-04 19:27:39,desktop
64,64,mail.ru_search,2025-01-16 20:12:34,desktop
65,65,yandex,2025-01-04 14:42:26,desktop
66,66,vk,2025-01-01 06:26:35,tablet
67,67,vk,2025-01-03 05:31:01,desktop
68,68,mail.ru_search,2025-01-11 03:19:15,desktop
69,69,malinka_ads,2025-01-01 19:50:34,desktop
70,70,organic,2025-01-01 12:53:49,desktop
71,71,organic,2025-01-12 23:39:20,desktop
72,72,organic,2025-01-16 11:01:18,desktop
73,73,vk,2025-01-03 13:21:02,mobile
74,74,yandex,2025-01-01 12:45:47,mobile
75,75,organic,2025-01-16 11:49:42,desktop
76,76,mail.ru_search,2025-01-06 06:48:31,tablet
77,77,vk,2025-01-08 20:33:23,desktop
78,78,mail.ru_search,2025-01-07 13:12:04,desktop
79,79,malinka_ads,2025-01-07 23:12:41,tablet
80,80,vk,2025-01-01 16:39:54,desktop
81,81,organic,2025-01-09 14:44:36,tablet
82,82,yandex,2025-01-09 21:55:27,mobile
83,83,organic,2025-01-02 03:17:00,desktop
84,84,vk,2025-01-03 11:42:45,desktop
85,85,malinka_ads,2025-01-07 02:59:59,tablet
86,86,organic,2025-01-11 16:14:18,mobile
87,87,mail.ru_search,2025-01-01 15:44:17,desktop
88,88,mail.ru_search,2025-01-05 04:22:11,desktop
89,89,yandex,2025-01-01 10:38:09,tablet
90,90,mail.ru_search,2025-01-04 04:06:05,desktop
91,91,malinka_ads,2025-01-24 07:43:08,desktop
92,92,mail.ru_search,2025-01-08 23:13:22,mobile
93,93,yandex,2025-01-05 21:16:09,tablet
94,94,malinka_ads,2025-01-31 04:44:37,mobile
95,95,malinka_ads,2025-01-04 21:46:12,mobile
96,96,yandex,2025-01-06 21:03:14,desktop
97,97,organic,2025-01-17 16:02:58,tablet
98,98,vk,2025-01-04 13:07:04,desktop
99,99,organic,2025-01-01 21:52:23,mobile
100,100,mail.ru_search,2025-01-05 16:33:21,tablet
101,101,organic,2025-01-02 04:45:14,desktop
102,102,mail.ru_search,2025-01-01 06:46:22,mobile
103,103,malinka_ads,2025-01-06 11:22:38,desktop
104,104,vk,2025-01-05 12:45:35,tablet
105,105,mail.ru_search,2025-01-01 22:05:15,desktop
106,106,yandex,2025-01-17 10:38:08,tablet
107,107,vk,2025-01-06 05:43:02,desktop
108,108,yandex,2025-01-03 00:14:49,mobile
109,109,organic,2025-01-02 16:23:11,mobile
110,110,organic,2025-01-11 03:34:56,mobile
111,111,yandex,2025-01-11 15:29:03,mobile
112,112,yandex,2025-01-02 14:59:59,desktop
113,113,organic,2025-01-08 18:52:29,mobile
114,114,organic,2025-01-03 05:08:09,desktop
115,115,yandex,2025-01-30 04:09:47,tablet
116,116,organic,2025-02-17 02:20:33,mobile
117,117,vk,2025-01-18 05:55:24,tablet
118,118,yandex,2025-01-08 23:26:52,tablet
119,119,mail.ru_search,2025-01-06 13:46:52,tablet
120,120,mail.ru_search,2025-01-21 09:22:32,desktop
121,121,organic,2025-01-15 20:13:58,mobile
122,122,vk,2025-01-02 22:26:44,tablet
123,123,vk,2025-01-01 21:33:11,mobile
124,124,mail.ru_search,2025-01-07 08:24:50,desktop
125,125,malinka_ads,2025-01-26 02:27:57,tablet
126,126,vk,2025-01-11 02:54:57,desktop
127,127,organic,2025-01-04 13:07:17,desktop
128,128,malinka_ads,2025-01-09 08:37:04,tablet
129,129,vk,2025-01-01 05:44:46,desktop
130,130,malinka_ads,2025-01-04 10:39:15,desktop
131,131,mail.ru_search,2025-01-04 03:48:31,tablet
132,132,mail.ru_search,2025-01-05 13:35:59,desktop
133,133,yandex,2025-01-04 18:02:16,tablet
134,134,organic,2025-01-08 04:21:07,tablet
135,135,vk,2025-01-22 16:42:57,desktop
136,136,mail.ru_search,2025-01-07 06:53:56,mobile
137,137,mail.ru_search,2025-01-12 23:44:52,mobile
138,138,organic,2025-01-16 04:50:05,desktop
139,139,mail.ru_search,2025-01-03 17:41:45,mobile
140,140,malinka_ads,2025-01-03 11:26:16,tablet
141,141,organic,2025-01-02 00:28:59,tablet
142,142,yandex,2025-01-04 23:26:11,tablet
143,143,organic,2025-01-23 08:52:00,mobile
144,144,organic,2025-01-08 13:23:48,mobile
145,145,organic,2025-01-02 06:12:35,mobile
146,146,yandex,2025-01-08 13:37:23,desktop
147,147,yandex,2025-01-01 19:54:00,mobile
148,148,vk,2025-01-04 20:23:41,desktop
149,149,yandex,2025-01-01 16:00:36,desktop
150,150,malinka_ads,2025-01-01 07:40:36,desktop
151,151,yandex,2025-01-20 21:19:14,mobile
152,152,vk,2025-01-05 18:07:12,desktop
153,153,yandex,2025-01-04 09:40:35,tablet
154,154,malinka_ads,2025-01-11 18:21:58,mobile
155,155,organic,2025-02-01 13:36:21,desktop
156,156,vk,2025-01-03 14:56:52,desktop
157,157,organic,2025-01-15 18:03:18,desktop
158,158,yandex,2025-01-10 11:16:45,desktop
159,159,vk,2025-01-03 08:07:08,mobile
160,160,malinka_ads,2025-01-05 18:04:55,tablet
161,161,malinka_ads,2025-01-03 15:03:22,mobile
162,162,mail.ru_search,2025-01-03 00:06:04,mobile
163,163,vk,2025-01-12 09:45:43,mobile
164,164,yandex,2025-01-29 12:57:22,desktop
165,165,malinka_ads,2025-01-03 03:46:15,desktop
166,166,mail.ru_search,2025-01-12 16:47:29,desktop
167,167,organic,2025-01-08 00:45:09,desktop
168,168,malinka_ads,2025-02-07 15:25:55,mobile
169,169,malinka_ads,2025-01-01 01:54:02,mobile
170,170,malinka_ads,2025-01-03 20:41:01,desktop
171,171,yandex,2025-01-05 12:17:54,desktop
172,172,yandex,2025-01-04 15:02:07,mobile
173,173,malinka_ads,2025-01-07 01:19:50,tablet
174,174,mail.ru_search,2025-01-04 20:25:52,tablet
175,175,organic,2025-01-09 07:13:53,mobile
176,176,malinka_ads,2025-01-02 08:58:43,tablet
177,177,mail.ru_search,2025-01-01 13:18:30,tablet
178,178,yandex,2025-01-25 10:50:44,tablet
179,179,vk,2025-01-12 08:59:57,mobile
180,180,vk,2025-01-05 01:10:03,desktop
181,181,malinka_ads,2025-01-07 00:46:46,mobile
182,182,organic,2025-01-06 18:20:44,tablet
183,183,vk,2025-01-12 00:53:41,desktop
184,184,malinka_ads,2025-01-12 03:40:13,desktop
185,185,yandex,2025-01-02 05:56:15,tablet
186,186,yandex,2025-01-05 12:36:54,desktop
187,187,malinka_ads,2025-01-21 04:29:19,mobile
188,188,organic,2025-01-01 07:50:16,desktop
189,189,yandex,2025-01-01 02:23:02,tablet
190,190,mail.ru_search,2025-01-05 13:26:50,mobile
191,191,mail.ru_search,2025-01-02 10:14:10,tablet
192,192,vk,2025-01-01 08:27:14,tablet
193,193,mail.ru_search,2025-01-01 21:27:04,mobile
194,194,mail.ru_search,2025-01-08 02:30:41,desktop
195,195,vk,2025-01-01 15:57:42,mobile
196,196,malinka_ads,2025-01-03 18:39:53,mobile
197,197,mail.ru_search,2025-01-14 14:14:51,desktop
198,198,malinka_ads,2025-01-07 03:18:21,tablet
199,199,vk,2025-01-07 03:00:40,tablet
200,200,malinka_ads,2025-01-02 22:24:49,tablet
201,201,vk,2025-01-11 19:20:53,desktop
202,202,vk,2025-01-19 09:47:56,desktop
203,203,organic,2025-01-02 01:11:25,desktop
204,204,malinka_ads,2025-01-06 13:54:02,mobile
205,205,mail.ru_search,2025-01-12 12:04:15,desktop
206,206,vk,2025-01-02 17:35:06,mobile
207,207,malinka_ads,2025-01-17 07:03:32,tablet
208,208,vk,2025-01-09 11:25:01,desktop
209,209,malinka_ads,2025-01-09 12:06:47,mobile
210,210,vk,2025-01-12 12:01:39,desktop
211,211,yandex,2025-01-13 21:14:35,desktop
212,212,organic,2025-01-01 04:20:43,mobile
213,213,mail.ru_search,2025-01-13 08:04:37,tablet
214,214,vk,2025-01-16 19:41:43,desktop
215,215,organic,2025-01-01 05:34:22,mobile
216,216,yandex,2025-01-05 12:11:47,tablet
217,217,mail.ru_search,2025-01-15 00:36:40,tablet
218,218,mail.ru_search,2025-01-06 22:39:05,tablet
219,219,organic,2025-01-05 19:43:24,tablet
220,220,mail.ru_search,2025-01-03 09:57:42,tablet
221,221,malinka_ads,2025-01-01 02:26:44,mobile
222,222,organic,2025-01-02 14:13:06,mobile
223,223,yandex,2025-01-04 12:40:20,mobile
224,224,mail.ru_search,2025-01-10 15:00:08,mobile
225,225,vk,2025-01-17 18:19:59,tablet
226,226,organic,2025-01-01 10:47:32,mobile
227,227,organic,2025-01-02 04:02:47,tablet
228,228,mail.ru_search,2025-01-11 21:03:35,tablet
229,229,vk,2025-01-02 10:15:50,tablet
230,230,vk,2025-01-02 10:03:16,tablet
231,231,yandex,2025-01-09 07:56:45,desktop
232,232,malinka_ads,2025-01-02 15:28:06,tablet
233,233,malinka_ads,2025-01-03 08:31:35,desktop
234,234,vk,2025-01-07 02:54:31,mobile
235,235,vk,2025-01-04 19:23:00,mobile
236,236,yandex,2025-01-04 22:24:09,mobile
237,237,malinka_ads,2025-01-04 06:12:18,mobile
238,238,mail.ru_search,2025-01-05 12:58:08,tablet
239,239,vk,2025-01-14 05:22:04,tablet
240,240,vk,2025-01-03 21:37:01,desktop
241,241,vk,2025-01-03 12:07:23,tablet
242,242,mail.ru_search,2025-01-26 22:03:38,desktop
243,243,mail.ru_search,2025-01-02 19:13:27,mobile
244,244,malinka_ads,2025-01-06 13:15:59,tablet
245,245,mail.ru_search,2025-01-02 09:23:32,tablet
246,246,vk,2025-01-02 14:12:27,mobile
247,247,vk,2025-01-09 09:53:42,mobile
248,248,malinka_ads,2025-02-04 00:46:44,tablet
249,249,vk,2025-01-16 05:39:04,tablet
250,250,malinka_ads,2025-01-03 11:17:56,tablet
251,251,yandex,2025-01-03 07:08:17,mobile
252,252,vk,2025-01-02 10:23:42,desktop
253,253,organic,2025-01-02 20:25:22,mobile
254,254,vk,2025-01-24 20:58:56,tablet
255,255,mail.ru_search,2025-01-03 22:08:32,tablet
256,256,vk,2025-01-01 00:13:52,tablet
257,257,organic,2025-01-03 22:09:46,tablet
258,258,yandex,2025-01-05 16:27:54,desktop
259,259,yandex,2025-01-07 01:42:06,mobile
260,260,mail.ru_search,2025-01-13 13:58:10,desktop
261,261,malinka_ads,2025-01-17 18:23:48,mobile
262,262,vk,2025-01-03 18:08:18,tablet
263,263,mail.ru_search,2025-01-05 21:44:00,mobile
264,264,malinka_ads,2025-01-12 06:38:35,mobile
265,265,vk,2025-01-16 03:53:31,mobile
266,266,vk,2025-01-02 07:42:25,desktop
267,267,malinka_ads,2025-01-05 11:40:10,mobile
268,268,organic,2025-01-15 19:02:21,mobile
269,269,mail.ru_search,2025-01-11 11:33:15,desktop
270,270,malinka_ads,2025-01-12 21:39:33,tablet
271,271,vk,2025-01-03 12:03:10,tablet
272,272,vk,2025-01-05 08:19:56,tablet
273,273,malinka_ads,2025-01-11 17:52:28,mobile
274,274,organic,2025-01-02 16:18:38,tablet
275,275,malinka_ads,2025-01-02 09:53:10,mobile
276,276,mail.ru_search,2025-01-02 22:53:29,tablet
277,277,yandex,2025-01-03 23:54:06,tablet
278,278,yandex,2025-01-27 20:01:39,desktop
279,279,yandex,2025-01-01 07:42:43,tablet
280,280,mail.ru_search,2025-01-04 06:15:36,tablet
281,281,organic,2025-01-01 05:13:55,tablet
282,282,vk,2025-01-01 07:52:51,tablet
283,283,yandex,2025-01-09 18:27:29,mobile
284,284,mail.ru_search,2025-01-07 13:15:53,tablet
285,285,vk,2025-01-01 08:32:43,mobile
286,286,yandex,2025-01-01 08:55:11,tablet
287,287,malinka_ads,2025-01-04 10:23:05,desktop
288,288,yandex,2025-01-31 08:36:08,desktop
289,289,vk,2025-01-01 19:02:12,tablet
290,290,organic,2025-01-02 08:45:43,tablet
291,291,malinka_ads,2025-01-03 03:32:19,tablet
292,292,malinka_ads,2025-01-05 16:58:57,tablet
293,293,mail.ru_search,2025-01-03 11:27:11,mobile
294,294,yandex,2025-01-03 05:02:36,tablet
295,295,mail.ru_search,2025-01-16 10:31:48,tablet
296,296,organic,2025-01-01 13:35:31,tablet
297,297,malinka_ads,2025-01-08 01:03:35,mobile
298,298,malinka_ads,2025-01-02 09:27:12,desktop
299,299,organic,2025-01-06 03:37:16,mobile
300,300,organic,2025-01-02 14:26:06,desktop
301,301,malinka_ads,2025-01-04 15:44:11,tablet
302,302,organic,2025-01-01 13:08:38,mobile
303,303,yandex,2025-01-09 07:27:32,mobile
304,304,mail.ru_search,2025-01-01 18:17:44,mobile
305,305,vk,2025-01-02 16:10:45,mobile
306,306,malinka_ads,2025-01-10 13:39:37,desktop
307,307,vk,2025-01-12 04:45:15,mobile
308,308,malinka_ads,2025-01-01 14:34:19,desktop
309,309,vk,2025-01-16 03:41:58,tablet
310,310,mail.ru_search,2025-01-03 14:11:59,mobile
311,311,vk,2025-01-05 23:39:56,tablet
312,312,mail.ru_search,2025-01-03 02:28:18,tablet
313,313,mail.ru_search,2025-01-14 15:01:17,desktop
314,314,malinka_ads,2025-01-10 13:28:00,desktop
315,315,organic,2025-01-04 12:25:12,desktop
316,316,yandex,2025-01-02 22:28:06,desktop
317,317,yandex,2025-01-23 16:40:54,tablet
318,318,yandex,2025-01-14 14:47:57,mobile
319,319,malinka_ads,2025-01-08 21:29:35,mobile
320,320,malinka_ads,2025-01-02 17:59:13,tablet
321,321,vk,2025-01-04 20:26:10,mobile
322,322,malinka_ads,2025-02-01 04:31:00,mobile
323,323,malinka_ads,2025-01-02 07:29:56,desktop
324,324,organic,2025-01-16 00:43:10,desktop
325,325,vk,2025-01-17 18:17:09,desktop
326,326,vk,2025-01-11 22:40:24,desktop
327,327,malinka_ads,2025-01-02 20:15:35,tablet
328,328,malinka_ads,2025-01-05 15:04:18,mobile
329,329,malinka_ads,2025-02-01 06:39:37,mobile
330,330,malinka_ads,2025-01-20 14:20:30,tablet
331,331,vk,2025-01-09 22:51:54,mobile
332,332,organic,2025-01-01 15:49:57,mobile
333,333,malinka_ads,2025-01-02 05:42:48,mobile
334,334,mail.ru_search,2025-01-04 03:40:36,tablet
335,335,vk,2025-01-09 11:33:22,mobile
336,336,vk,2025-01-02 12:54:46,desktop
337,337,malinka_ads,2025-01-06 09:29:08,desktop
338,338,malinka_ads,2025-01-18 17:40:02,tablet
339,339,malinka_ads,2025-02-16 04:52:30,desktop
340,340,vk,2025-01-02 06:56:47,mobile
341,341,malinka_ads,2025-01-01 08:19:37,tablet
342,342,organic,2025-01-08 08:46:21,mobile
343,343,vk,2025-01-11 15:24:44,desktop
344,344,yandex,2025-01-08 02:52:59,desktop
345,345,vk,2025-01-05 18:38:04,tablet
346,346,malinka_ads,2025-01-04 11:54:38,mobile
347,347,mail.ru_search,2025-01-01 02:32:00,mobile
348,348,organic,2025-01-02 00:58:44,desktop
349,349,mail.ru_search,2025-01-16 02:21:50,desktop
350,350,organic,2025-01-08 00:13:04,tablet
351,351,mail.ru_search,2025-01-06 14:50:31,tablet
352,352,malinka_ads,2025-01-03 23:09:04,mobile
353,353,organic,2025-01-01 12:06:40,desktop
354,354,vk,2025-01-06 05:29:08,mobile
355,355,malinka_ads,2025-01-25 22:24:51,tablet
356,356,malinka_ads,2025-01-02 21:42:29,tablet
357,357,organic,2025-01-05 01:33:02,desktop
358,358,organic,2025-01-05 21:54:32,tablet
359,359,yandex,2025-01-01 18:26:49,mobile
360,360,mail.ru_search,2025-01-04 07:37:10,desktop
361,361,vk,2025-01-02 14:43:43,desktop
362,362,malinka_ads,2025-01-11 18:49:03,desktop
363,363,malinka_ads,2025-01-01 09:09:04,mobile
364,364,mail.ru_search,2025-01-19 05:50:50,desktop
365,365,vk,2025-01-11 02:23:33,desktop
366,366,yandex,2025-01-12 03:09:40,tablet
367,367,organic,2025-01-03 15:06:48,desktop
368,368,organic,2025-01-01 03:02:35,desktop
369,369,organic,2025-01-10 03:27:19,tablet
370,370,yandex,2025-01-08 06:45:36,tablet
371,371,yandex,2025-01-05 10:19:06,mobile
372,372,malinka_ads,2025-01-02 14:31:57,desktop
373,373,yandex,2025-01-18 15:15:52,mobile
374,374,mail.ru_search,2025-01-14 02:44:40,mobile
375,375,malinka_ads,2025-01-14 06:01:30,tablet
376,376,vk,2025-01-01 06:08:24,desktop
377,377,malinka_ads,2025-01-02 05:17:51,tablet
378,378,organic,2025-01-03 01:59:42,tablet
379,379,organic,2025-01-02 11:23:50,desktop
380,380,organic,2025-01-01 17:59:39,desktop
381,381,yandex,2025-01-03 16:14:08,mobile
382,382,yandex,2025-01-02 13:04:46,desktop
383,383,mail.ru_search,2025-01-27 02:02:31,desktop
384,384,organic,2025-01-08 16:03:43,desktop
385,385,malinka_ads,2025-01-02 23:25:44,mobile
386,386,vk,2025-01-10 06:41:05,mobile
387,387,malinka_ads,2025-01-03 13:32:20,desktop
388,388,organic,2025-01-01 03:30:50,mobile
389,389,mail.ru_search,2025-01-06 22:56:44,mobile
390,390,vk,2025-01-03 16:30:02,tablet
391,391,mail.ru_search,2025-01-10 15:07:20,tablet
392,392,organic,2025-01-23 02:43:53,desktop
393,393,mail.ru_search,2025-01-01 00:55:36,desktop
394,394,yandex,2025-01-19 08:54:31,desktop
395,395,malinka_ads,2025-01-03 07:44:25,desktop
396,396,vk,2025-01-11 04:39:03,mobile
397,397,mail.ru_search,2025-01-02 09:00:28,tablet
398,398,vk,2025-01-12 04:48:19,desktop
399,399,malinka_ads,2025-01-14 18:52:13,desktop
400,400,vk,2025-01-14 17:17:49,tablet
401,401,malinka_ads,2025-01-01 16:00:42,mobile
402,402,mail.ru_search,2025-01-26 22:54:10,desktop
403,403,malinka_ads,2025-01-06 08:11:33,mobile
404,404,vk,2025-01-01 20:31:10,desktop
405,405,organic,2025-01-01 10:38:09,tablet
406,406,malinka_ads,2025-01-21 19:14:43,desktop
407,407,mail.ru_search,2025-01-03 16:50:33,mobile
408,408,yandex,2025-01-11 09:52:21,desktop
409,409,mail.ru_search,2025-01-03 09:20:08,mobile
410,410,vk,2025-01-04 21:57:13,desktop
411,411,yandex,2025-01-01 05:36:35,tablet
412,412,organic,2025-01-01 02:55:13,tablet
413,413,vk,2025-01-23 05:14:37,mobile
414,414,malinka_ads,2025-01-03 23:20:29,mobile
415,415,malinka_ads,2025-01-06 11:41:38,tablet
416,416,yandex,2025-01-05 07:18:02,mobile
417,417,organic,2025-01-20 18:02:51,desktop
418,418,mail.ru_search,2025-01-03 15:54:55,desktop
419,419,vk,2025-01-05 18:11:03,mobile
420,420,malinka_ads,2025-01-06 03:51:36,desktop
421,421,mail.ru_search,2025-01-04 20:31:20,mobile
422,422,organic,2025-01-08 03:04:25,mobile
423,423,organic,2025-01-05 15:26:17,tablet
424,424,mail.ru_search,2025-01-02 07:10:10,tablet
425,425,yandex,2025-01-07 15:45:43,mobile
426,426,organic,2025-01-07 02:00:52,tablet
427,427,organic,2025-01-14 14:55:04,desktop
428,428,organic,2025-01-28 17:45:17,tablet
429,429,yandex,2025-01-02 01:13:20,desktop
430,430,organic,2025-01-04 06:29:33,mobile
431,431,malinka_ads,2025-01-12 00:49:15,desktop
432,432,malinka_ads,2025-01-18 23:46:26,mobile
433,433,vk,2025-01-05 17:21:54,mobile
434,434,vk,2025-01-02 14:33:03,mobile
435,435,organic,2025-01-07 23:12:38,mobile
436,436,organic,2025-01-01 14:00:24,mobile
437,437,mail.ru_search,2025-01-01 12:32:38,tablet
438,438,malinka_ads,2025-01-04 02:04:27,mobile
439,439,organic,2025-01-08 20:21:53,mobile
440,440,organic,2025-01-08 20:03:29,mobile
441,441,malinka_ads,2025-01-03 08:13:02,desktop
442,442,organic,2025-01-01 01:40:25,desktop
443,443,yandex,2025-01-04 14:43:52,tablet
444,444,malinka_ads,2025-01-28 07:31:44,tablet
445,445,yandex,2025-01-14 00:21:52,desktop
446,446,vk,2025-01-17 07:30:33,desktop
447,447,mail.ru_search,2025-01-06 04:58:33,tablet
448,448,malinka_ads,2025-01-03 09:10:50,desktop
