customer_id,segment,region,registration_date
1,loyal,Moscow,2023-01-03
2,new,SPB,2023-02-26
3,churn_risk,Ekaterinburg,2024-05-16
4,high_spender,SPB,2024-11-07
5,returning,Kazan,2021-03-19
6,new,SPB,2022-04-07
7,discount_hunter,Kazan,2024-06-14
8,high_spender,SPB,2022-04-22
9,loyal,Kazan,2021-07-08
10,returning,Moscow,2020-04-27
11,discount_hunter,Kazan,2021-06-30
12,loyal,Kazan,2022-05-27
13,high_spender,Ekaterinburg,2020-04-25
14,churn_risk,Kazan,2022-06-10
15,loyal,Kazan,2024-08-08
16,new,Ekaterinburg,2022-10-05
17,high_spender,Moscow,2023-04-17
18,discount_hunter,Kazan,2021-07-31
19,new,SPB,2022-07-05
20,discount_hunter,Kazan,2022-06-06
21,returning,SPB,2022-10-24
22,returning,SPB,2021-07-18
23,high_spender,Moscow,2020-08-25
24,returning,Kazan,2020-08-22
25,high_spender,SPB,2023-05-29
26,high_spender,Ekaterinburg,2021-09-18
27,high_spender,Ekaterinburg,2022-03-25
28,churn_risk,Kazan,2022-08-03
29,loyal,Moscow,2020-09-18
30,loyal,Moscow,2022-08-25
31,high_spender,SPB,2021-01-21
32,discount_hunter,Kazan,2024-04-01
33,churn_risk,Kazan,2024-12-21
34,high_spender,Kazan,2021-08-30
35,new,Kazan,2020-11-05
36,loyal,Kazan,2020-07-15
37,new,Ekaterinburg,2024-12-28
38,discount_hunter,Ekaterinburg,2024-08-01
39,churn_risk,Ekaterinburg,2024-07-03
40,churn_risk,Kazan,2021-06-16
41,high_spender,Kazan,2020-08-31
42,loyal,SPB,2022-12-06
43,returning,Moscow,2023-11-01
44,loyal,Ekaterinburg,2024-10-13
45,high_spender,Kazan,2023-12-05
46,returning,Moscow,2021-04-03
47,loyal,Moscow,2022-03-18
48,high_spender,Kazan,2023-04-05
49,churn_risk,Moscow,2023-12-28
50,high_spender,SPB,2022-02-21
51,loyal,Kazan,2023-01-19
52,churn_risk,SPB,2023-09-27
53,churn_risk,Moscow,2023-11-14
54,high_spender,Kazan,2022-06-23
55,new,SPB,2020-09-24
56,discount_hunter,Kazan,2022-06-08
57,new,Ekaterinburg,2023-01-15
58,loyal,Moscow,2022-02-04
59,new,Moscow,2023-06-14
60,discount_hunter,Moscow,2024-10-12
61,loyal,Moscow,2023-11-17
62,returning,Kazan,2022-06-06
63,returning,Moscow,2022-05-18
64,loyal,Ekaterinburg,2022-05-17
65,high_spender,Ekaterinburg,2021-07-01
66,new,Ekaterinburg,2020-08-13
67,loyal,Moscow,2021-12-26
68,loyal,Ekaterinburg,2023-03-27
69,discount_hunter,Kazan,2024-10-15
70,high_spender,Moscow,2021-02-06
71,returning,Ekaterinburg,2020-06-20
72,churn_risk,Moscow,2023-03-31
73,returning,Kazan,2024-05-12
74,high_spender,Kazan,2020-08-13
75,discount_hunter,Moscow,2021-01-20
76,high_spender,SPB,2023-05-29
77,churn_risk,Moscow,2023-11-23
78,high_spender,Moscow,2024-02-16
79,discount_hunter,Kazan,2020-06-09
